,name,ran,mem_at_finish,obj_count,instance_count
0,terrain,False,485736448,0,0
1,sky_lighting,True,485933056,0,0
2,solve_rooms,True,555253760,31,0
3,solve_large,True,555384832,31,0
4,pose_cameras,True,876822528,31,0
5,animate_cameras,False,876822528,31,0
6,populate_intermediate_pholders,True,876822528,31,0
7,solve_medium,True,876822528,31,0
8,solve_small,True,876822528,31,0
9,populate_assets,True,876822528,31,0
10,floating_objs,False,876822528,31,0
11,room_doors,True,900972544,56,0
12,room_windows,True,913113088,72,0
13,room_stairs,True,913113088,72,0
14,skirting_floor,False,913113088,72,0
15,skirting_ceiling,False,913113088,72,0
16,room_pillars,False,914604032,92,0
17,room_walls,True,939589632,92,0
18,room_floors,True,944685056,92,0
19,room_ceilings,True,948862976,92,0
20,lights_off,False,951910400,92,0
21,invisible_room_ceilings,False,951910400,92,0
22,overhead_cam,False,951910400,92,0
23,hide_other_rooms,False,951910400,92,0
24,nature_backdrop,,951910400,92,0
